Nova-111,Adventure,Funktronic Labs,No Gravity Games,"January 13, 2022",
Nowhere Prophet,Card game,Sharkbomb Studios,No More Robots,"July 30, 2020",[525]
Nuclear Throne,Shoot 'em up,Vlambeer,Vlambeer,"March 20, 2019",
Nuclien,Puzzle,Springloaded,Springloaded,"January 19, 2018",[526]
Null Drifter,Bullet hell,Panda Indie Studio,EastAsiaSoft,"April 9, 2020",[527][528]
Nurse Love Addiction,Visual novel,Kogado Studio,JP: Kogado StudioWW: Degica,"April 19, 2019",
Nurse Love Syndrome,Visual novel,Kogado Studio,JP: Kogado StudioWW: Degica,"April 19, 2019",
Nuts,Adventure,"Joon, Pol, Muutsch, Char & Torfi",Noodlecake Studios,"February 4, 2021",
Oaken,"Roguelike, Deck-building",Laki Studio,Goblinz Publishing,2022,[529]
Obakeidoro!,Action,Free Style,Free Style,"August 1, 2019",[530]
Observer,Psychological horror,Bloober Team,JP: Circle EntertainmentWW: Aspyr,"February 7, 2019",
Oceanhorn: Monster of Uncharted Seas,Action-adventure,Cornfox & Bros.,FDG Entertainment,"June 22, 2017",
Oceanhorn 2: Knights of the Lost Realm,Action-adventure,Cornfox & Bros.,FDG Entertainment,"October 28, 2020",
Octahedron: Transfixed Edition,"Platformer, adventure",Demimonde,JP: Brave Wave ProductionsWW: Square Enix,"January 17, 2019",[531][532][533]
Octodad: Dadliest Catch,Adventure,Young Horses Games,Young Horses Games,"November 9, 2017",
Octogeddon,"Action, arcade",All Yes Good,All Yes Good,"May 16, 2019",
Octopath Traveler,Role-playing,Square Enix,JP: Square EnixWW: Nintendo,"July 13, 2018",
Odallus: The Dark Call,Metroidvania,JoyMasher,JP: EastAsiaSoftWW: Digerati,"February 8, 2019",
Oddventure,Role-playing,Infamous Rabbit,Infamous Rabbit,2022,
Oddworld: Munch's Oddysee,Action-adventure,Oddworld Inhabitants,Oddworld Inhabitants,"May 14, 2020",
Oddworld: New 'n' Tasty!,Action-adventure,Oddworld Inhabitants,Oddworld Inhabitants,"October 27, 2020",
Oddworld: Stranger's Wrath,Action-adventure,Oddworld Inhabitants,Oddworld Inhabitants,"January 23, 2020",
Of Mice and Sand: Revised,"Simulation, strategy",Arc System Works,Arc System Works,"December 21, 2017",[534]
Of Tanks and Demons III,"Action, racing",Hoodoo Bear,Victory Road,"August 14, 2020",[535][536]
Offside Legends,Sports,Team Serpico,Team Serpico,2021,[537]
Ogre Tale,Beat 'em up,Mages,Degica Games,TBA,[538]
Oh...Sir! The Hollywood Roast,Simulation,Vile Monarch,Gambitious,"January 18, 2018",[539]
Oh...Sir! The Insult Simulator,Simulation,Vile Monarch,Gambitious,"January 18, 2018",[540]
Ōkami,Action-adventure,Clover Studio,Capcom,"August 9, 2018",
OK K.O.! Let's Play Heroes,Action-adventure,Capybara Games,Cartoon Network Games,"November 2, 2018",
Okinawa Rush,Beat 'em up,Sokaikan,No Gravity Games,"October 28, 2021",
OkunoKa,Platformer,Luce Games,Luce Games,"November 30, 2018",[541]
OkunoKa Madness,Platformer,Caracal Games,Ignition Publishing,"September 8, 2020",[542]
Okuri Inu,Visual novel,Mebius,Shannon,"July 12, 2018",[543]
Old Man's Journey,Adventure,Broken Rules,Broken Rules,"February 20, 2018",
Old School Musical,Rhythm,La Moutarde,JP: Worker BeeWW: Playdius,"September 13, 2018",[544][545]
Olija,Action-adventure,Skeleton Crew,Devolver Digital,"January 28, 2021",[546]
OlliOlli: Switch Stance,Sports,Roll7,Gambitious,"February 14, 2019",
OlliOlli World,Sports,Roll7,Private Division,"February 8, 2022",
Olympia Soiree,Adventure,Idea Factory,JP: Idea FactoryWW: Aksys Games,"April 16, 2020",[547]
Olympic Games Tokyo 2020 - The Official Video Game,Sports,Sega,Sega,"July 24, 2019",
Omensight: Definitive Edition,Action role-playing,Spearhead Games,Spearhead Games,"December 13, 2018",
OMG Police: Car Chase TV Simulator,Simulation,Pizza Gaming,Red Deer Games,"April 20, 2020",[548][549]
OmoTomO,Board game,Forever Entertainment,Forever Entertainment,"January 29, 2020",[159][427]
Omori,Role-playing,Omocat,Playism,2022,
One Eyed Kutkh,Adventure,Sometimes You,Sometimes You,"March 9, 2018",[550]
One Finger Death Punch 2,Brawler,Silver Dollar Games,JP: Rainy FrogWW: Silver Dollar Games,"February 26, 2020",[551][552]
One Hand Clapping,Platformer,Bad Dream Games,HandyGames,2021,[553]
One More Dungeon,First-person shooter,Ratalaika Games,Ratalaika Games,"December 14, 2017",[554]
One Night Stand,Visual novel,Kinmoku,Ratalaika Games,"October 4, 2019",
One Piece: Pirate Warriors 3 Deluxe Edition,Action-adventure,Omega Force,Bandai Namco Entertainment,"December 21, 2017",
One Piece: Pirate Warriors 4,Action-adventure,"Omega Force, Koei Tecmo",Bandai Namco Entertainment,"March 26, 2020",
One Piece: Unlimited World Red Deluxe Edition,Action-adventure,Ganbarion,Bandai Namco Entertainment,"August 24, 2017",
OneShot,Puzzle adventure,Future Cat,Dangen Entertainment,2022,[555]
One Step From Eden,Roguelike,Thomas Moon Kang,Humble Bundle Presents,"March 26, 2020",[556][557]
One Way Heroics Plus,"Role-playing, roguelike",Smoking Wolf,Playism,"June 18, 2020",[558]
One-Way Ticket,Visual novel,Light & Digital Technology,Zodiac Interactive,"November 28, 2019",[559][560]
Oniken: Unstoppable Edition,"Action, platformer",JoyMasher,JP: EastAsiaSoftWW: Digerati,"February 8, 2019",
Onimusha: Warlords Remaster,"Action-adventure, hack and slash",Capcom,Capcom,"December 20, 2018",
Oninaki,Action role-playing,Tokyo RPG Factory,Square Enix,"August 22, 2019",
Onirike,Platformer,Devilish Games,Badland Publishing,"June 29, 2021",[561]
Operation Hardcore,Shoot 'em up,Cosmocat,Greenlight Games,"June 1, 2018",[562]
Operencia: The Stolen Sun,Role-playing,Zen Studios,Zen Studios,"March 31, 2020",[563][564]
OPUS: The Day We Found Earth,Adventure,Sigono,Flyhigh Works,"November 30, 2017",
OPUS: Rocket of Whispers,Adventure,Sigono,Flyhigh Works,"March 22, 2018",
Orangeblood,Role-playing,Grayfax Software,Playism,"October 1, 2020",[565]
Ord.,Adventure,Mujo Games,Ratalaika Games,"November 5, 2020",
Order Land!,Role-playing,Poisoft,Poisoft,"September 28, 2017",[566]
Ori and the Blind Forest,Platform,Moon Studios,Xbox Game Studios,"September 27, 2019",
Ori and the Will of the Wisps,Platform,Moon Studios,Xbox Game Studios,"September 17, 2020",
The Origin: Blind Maid,Horror,Warani Studios,Badland Publishing,2021,[567]
Orn: The Tiny Forest Sprite,Board game,Five12 Games,Five12 Games,"January 24, 2020",[159][427]
Oshiri Tantei: Pupu Mirai no Meitantei Toujou!,Adventure,Nippon Columbia,Nippon Columbia,"November 4, 2021",[568]
Osyaberi! Horijyo!,Action,Clouds Play Company,Clouds Play Company,"March 8, 2018",[569]
Othello,Board game,Arc System Works,Arc System Works,"March 3, 2017",
Othercide,Tactical role-playing,Lightbulb Crew,Focus Home Interactive,"September 10, 2020",[570]
The Otterman Empire,"Party, shooter",Tri-Heart Interactive,Tri-Heart Interactive,"July 2, 2020",
OTTTD: Over The Top Tower Defense,Tower defense,SMG Studios,SMG Studios,"May 6, 2019",[278][279]
Our Battle Has Just Begun! Episode 1,Visual novel,Vridge,Vridge,"July 15, 2021",[571]
Our Two Bedroom Story,Adventure,Voltage,Voltage,"May 7, 2020",[114][115][572]
Our World is Ended,Visual novel,Red Entertainment,PQube,"February 28, 2019",[36][37]
Out There: Ω The Alliance,Adventure,Raw Fury,Raw Fury,"April 9, 2019",
Outbuddies DX,Platformer,Julian Laufer,JP: Chorus WorldwideWW: Headup Games,"June 5, 2020",[336][337][573]
Outer Wilds,Action-adventure,Mobius Digital,Annapurna Interactive,TBA,
The Outer Worlds,Role-playing,Obsidian Entertainment,Private Division,"June 5, 2020",
Outlast,Survival horror,Red Barrels,Red Barrels,"February 27, 2018",
Outlast 2,Survival horror,Red Barrels,Red Barrels,"March 27, 2018",
Out of Line,Puzzle platformer,Nerd Monkeys,JP: H2 InteractiveWW: Hatinh Interactive,"July 7, 2021",[574]
Overcooked! All You Can Eat,Simulation,Ghost Town Games,Team17,"March 23, 2021",
Overcooked! Special Edition,Simulation,Ghost Town Games,Team17,"July 27, 2017",
Over the Alps,"Adventure, role-playing",Stave Studios,Stave Studios,"August 25, 2020",[575]
Overcooked! 2,Simulation,Ghost Town Games,Team17,"August 7, 2018",
Overland,Turn-based strategy,Finji,Finji,"September 19, 2019",
Overlord: Escape from Nazarick,Metroidvania,Engines,Kadokawa Games,"June 16, 2022",
Overpass,Racing,Zordix,Bigben Interactive,"February 12, 2020",[576][577]
Override: Mech City Brawl,Beat 'em up,Modus Studios Brazil,JP: 3gooWW: Modus Games,"October 15, 2019",
Override 2: Super Mech League,Beat 'em up,Modus Studios Brazil,JP: Oizumi AmuzioWW: Modus Games,"December 22, 2020",
Overwatch,First-person shooter,"Blizzard Entertainment, Iron Galaxy",Blizzard Entertainment,"October 15, 2019",
Overwatch 2,First-person shooter,"Blizzard Entertainment, Iron Galaxy",Blizzard Entertainment,TBA,
Overwhelm,"Action, platformer",Ruari O'Sullivan,Alliance,"April 4, 2019",[346][347]
Owlboy,Platformer,D-Pad Studio,D-Pad Studio,"February 13, 2018",
Oxenfree,Adventure,Night School Studio,Night School Studio,"October 6, 2017",
Oxenfree II: Lost Signals,Adventure,Night School Studio,MWM Interactive,2022,
Ozmafia Vivace,Visual novel,Poni-Pachet,Dramatic Create,"August 27, 2020",[578]
Pac-Man Championship Edition 2 Plus,Action,Bandai Namco Studios,Bandai Namco Entertainment,"February 22, 2018",
Pac-Man Museum +,Action,Bandai Namco Entertainment,Bandai Namco Entertainment,"May 26, 2022",
Pac-Man World Re-Pac,Platformer,Bandai Namco Entertainment,Bandai Namco Entertainment,"August 26, 2022",
Packet Queen #,Puzzle,Infoarise,Studio F-Sharp,"March 1, 2018",[579]
The Padre,Adventure,Shotgun With Glitters,Feardemic,"April 18, 2019",[36][37]
Paint the Town Red,"Action, adventure, role-playing",South East Games,South East Games,"June 29, 2021",[580]
Paint Your Pet,Edutainment,Ultimate Games,Ultimate Games,"July 30, 2020",[581][582]
Paladins,Hero shooter,Evil Mojo Games,Hi-Rez Studios,"June 12, 2018",
Pan-Pan: A Tiny Big Adventure,"Adventure, puzzle",Spelkraft,Circle Entertainment,"September 14, 2017",[583]
Panda Hero,Platformer,Treva Entertainment,Treva Entertainment,"November 22, 2018",
Panda Jump,"Action, adventure, platformer, puzzle",GameCo Mobile,Digital Game Group,"September 4, 2020",[584]
Pandemic,Board game,Z-Man Games,Asmodee,"August 1, 2019",[585]
Pang Adventures,"Action, platformer, puzzle",Dotemu,Dotemu,"January 3, 2019",
Pangeon,Dungeon crawler,Skrypious,"Ultimate Games, Gaming Factory","July 14, 2020",[586]
Pankapu,Action-adventure,Too Kind Studio,Playdius Entertainment,"September 28, 2017",[587]
Panorama Cotton,Shoot 'em up,Success,JP: SunsoftWW: Inin Games,"October 29, 2021",
Panty Party,Action,Animu Game,Cosen,"April 25, 2019",[588]
Panzer Dragoon: Remake,"Rail shooter, role-playing",MegaPixel Studios,Forever Entertainment,"March 26, 2020",
Panzer Paladin,"Action, platformer",Tribute Games,Tribute Games,"July 21, 2020",
Papa's Quiz,Party,Old Apes,Old Apes,"July 30, 2021",
Paper Mario: The Origami King,"Role-playing, action-adventure, puzzle",Intelligent Systems,Nintendo,"July 17, 2020",
Paper Wars: Cannon Fodder Devastated,Tower defense,iFun4all,iFun4all,"March 1, 2018",[589]
Paradigm Paradox,Visual novel,Idea Factory,Idea Factory,"May 27, 2021",[294]
Paradise Killer,"Adventure, puzzle, role-playing",Kaizen Game Works,JP: LeofulWW: Fellow Traveller,"September 4, 2020",
Paradox Soul,Metroidvania,"GrabTheGames, Ritual Games",Ratalaika Games,"July 5, 2019",[590][591][592]
Paratopic,Adventure,Baltoro Games,Baltoro Games,"August 21, 2020",[593][594]
Parfait Remake,Visual novel,"Giga, Dai",Entergram,"November 25, 2021",[595]
The Park,Action-adventure,Funcom,Funcom,"October 22, 2019",
Parking Madness,"Puzzle, racing, sports, strategy",Inlogic,11Sheep,"August 23, 2020",[596]
Part Time UFO,Puzzle,HAL Laboratory,Nintendo,"October 28, 2020",
Party Animals,Party,Recreate Games,Recreate Games,TBA,[597]
Party Arcade,Party,FarSight Studios,Planet Entertainment,"December 13, 2018",[598][599]
Party Crashers,Racing,Giant Margarita,Giant Margarita,"October 4, 2018",
Party Crasher Simulator,Simulation,Glob Games Studio,Glob Games Studio,2022,
Party Golf,Sports,Giant Margarita,Giant Margarita,"October 19, 2017",
Party Hard,"Action, stealth",Pinokl Games,TinyBuild,"November 22, 2018",
Party Hard 2,"Action, stealth",Pinokl Games,TinyBuild,"September 8, 2020",
Party Planet,Party,Teyon,JP: Digital BardsNA: MastiffEU: Teyon,"December 12, 2017",[600][601]
Path to Mnemosyne,Adventure,Devilish Games,JP: DredgerWW: Hidden Trap,"April 16, 2019",[36][37][602]
Pato Box,Fighting,Bromio,Bromio,"July 9, 2018",[603][604]
Paw Patrol: On a Roll,Platformer,Torus Games,Outright Games,"October 26, 2018",
Paw Patrol The Movie: Adventure City Calls,Action-adventure,Drakhar Studio,Outright Games,"August 13, 2021",
Payday 2,First-person shooter,Overkill Software,Starbreeze Studios,"February 23, 2018",
PBA Pro Bowling,Sports,FarSight Studios,FarSight Studios,"October 22, 2019",[605]
PBA Pro Bowling 2021,Sports,FarSight Studios,FarSight Studios,"December 21, 2020",[606][607]
PC Building Simulator,Simulation,Irregular Corporation,Irregular Corporation,"August 13, 2019",
Peaky Blinders: Mastermind,"Adventure, puzzle",FuturLab,Curve Digital,"August 20, 2020",[608]
The Pedestrian,Puzzle platformer,Skookum Arts,Skookum Arts,TBA,
Penguin Wars,Action,City Connection,JP: City ConnectionWW: Dispatch Games,"September 21, 2017",
Penny-Punching Princess,Fighting,Nippon Ichi Software,NIS America,"March 30, 2018",[276]
Perception,Survival horror,Deep End Games,Deep End Games,"October 31, 2017",
Percy's Predicament Deluxe,Platformer,Maestro Interactive,Maestro Interactive,"February 7, 2019",[135]
Perfect Angle,Puzzle,Ivanovich Games,Ivanovich Games,"May 3, 2018",[609]
The Persistence,Roguelike,Firesprite Games,Firesprite Games,"May 21, 2020",[610][611]
Persona 3 Portable,Role-playing,Atlus,Sega,TBA,
Persona 4 Arena Ultimax,Fighting,"Arc System Works, P-Studio",Atlus,"March 17, 2022",
Persona 4 Golden,Role-playing,Atlus,Sega,TBA,
Persona 5 Royal,Role-playing,P-Studio,Atlus,"October 21, 2022",
Persona 5 Strikers,Action role-playing,"Omega Force, P-Studio",JP: AtlusWW: Koei Tecmo,"February 20, 2020",
Petadachi,Simulation,Atooi,Atooi,2022,[612]
Petal Crash,Puzzle,Friend & Fairy,GalaxyTrail,"October 12, 2020",[613]
Pew Paw,Arcade,Oaky Games,Drageus Games,"June 12, 2020",[614][615]
PGA Tour 2K21,Sports,HB Studios,2K Sports,"August 21, 2020",
Phantasy Star Online 2,Massively multiplayer online role-playing,Sega,Sega,"April 4, 2018",
Phantasy Star Online 2: New Genesis,Massively multiplayer online role-playing,Sega,Sega,"June 9, 2021",
Phantom Breaker: Battle Grounds Overdrive,Fighting,Mages,Mages,"December 7, 2017",
Phantom Breaker: Omnia,Fighting,"GameLoop, Mages",Rocket Panda Games,"March 15, 2022",
Phantom Trigger,Hack and slash,Bread Team,TinyBuild,"August 10, 2017",[616]
Phoenix Wright: Ace Attorney Trilogy,Visual novel,Capcom,Capcom,"February 21, 2019",
Phoenotopia: Awakening,Action-adventure,Cape Cosmic,Cape Cosmic,"August 20, 2020",[617]
Phogs!,"Puzzle-platformer, adventure",Bit Loom Games,Coatsink,"December 3, 2020",[618]
Photon Cube,Puzzle,Smile Axe,Smile Axe,"June 29, 2017",[619]
Phrasefight,"Rhythm, fighting",VeryOK,Mediascape,"December 20, 2018",[620]
Physical Contact: 2048,Puzzle,Collavier Corporation,Collavier Corporation,"September 7, 2017",[621]
Physical Contact: Picture Place,Puzzle,Collavier Corporation,Collavier Corporation,"September 28, 2017",[622]
Physical Contact: Speed,Card game,Collavier Corporation,Collavier Corporation,"June 29, 2017",[623]
Pianista: The Legendary Virtuoso,Music,Superb,Superb,"October 25, 2018",[624][625]
Pic-a-Pix Deluxe,Puzzle,Lightwood Games,JP: Rainy FrogWW: Lightwood Games,"January 4, 2018",[626]
Pico Park,"Action, puzzle",TecoPark,TecoPark,"June 8, 2019",[627]
Picontier,Role-playing,Skipmore,Flyhigh Works,TBA,[628]
Pictooi,Puzzle,Jupiter Corporation,Jupiter Corporation,"July 2, 2021",[629]
Picross Lord of the Nazarick,Puzzle,Jupiter Corporation,Jupiter Corporation,"July 25, 2019",[630]
Picross S,Puzzle,Jupiter Corporation,Jupiter Corporation,"September 28, 2017",
Picross S2,Puzzle,Jupiter Corporation,Jupiter Corporation,"August 2, 2018",
Picross S3,Puzzle,Jupiter Corporation,Jupiter Corporation,"April 25, 2019",
Picross S4,Puzzle,Jupiter Corporation,Jupiter Corporation,"April 23, 2020",
Picross S5,Puzzle,Jupiter Corporation,Jupiter Corporation,"November 26, 2020",
Picross S6,Puzzle,Jupiter Corporation,Jupiter Corporation,"April 22, 2021",
Picross S7,Puzzle,Jupiter Corporation,Jupiter Corporation,"December 23, 2021",
Picross S: Mega Drive & Mark III Edition,Puzzle,Jupiter Corporation,Jupiter Corporation,"August 5, 2021",[631]
Piczle Lines DX,Puzzle,Score Studios,Rainy Frog,"August 24, 2017",[632]
Piffle: A Cat Puzzle Adventure,"Adventure, arcade, puzzle",Hipster Whale,Hipster Whale,"September 2, 2020",[633][634]
Pig Eat Ball,Action,Mommy’s Best Games,Mommy’s Best Games,"October 18, 2019",[635]
Pika Pika Nurse Monogatari: Shounika wa Itsumo Oosawagi,Simulation,Nippon Columbia,Nippon Columbia,"April 2, 2020",[636]
Pikmin 3 Deluxe,Real-time strategy,Nintendo,Nintendo,"October 30, 2020",
Pikuniku,Platformer,Sectordub,Devolver Digital,"January 24, 2019",
Pile Up!,Platformer,Seed by Seed,Seed by Seed,TBA,[637]
Pillar,Adventure,Michael Hicks,Michael Hicks,"March 5, 2019",[316]
Pillars of Eternity,Role-playing,Obsidian Entertainment,Versus Evil,"August 8, 2019",
The Pinball Arcade,Pinball,FarSight Studios,FarSight Studios,"May 10, 2018",
Pinball FX 3,Pinball,Zen Studios,Zen Studios,"December 12, 2017",
Pinball Lockdown,"Board game, party",Onteca,Onteca,"June 5, 2020",[336][337]
Pinchcliffe Grand Prix,Racing,"Ravn Studio, Invictus Games",Zordix,"November 4, 2021",[638]
Pine,"Action-adventure, open world",Twirlbound,Kongregate,"November 26, 2019",
Ping Pong Trick Shot Evolution,Puzzle,Starsign,Starsign,"January 31, 2019",[135]
"#Pinocchio, Super Puzzles Dream","Board game, party, puzzle",Jorge Biedma Azuar,Jorge Biedma Azuar,"July 22, 2021",[639]
Pinstripe,"Puzzle, adventure",Atmos Games,JP: BeepWW: Serenity Forge,"October 25, 2018",
Piofiore: Episodio 1926,Visual novel,Idea Factory,JP: Idea FactoryWW: Aksys Games,"October 8, 2020",[640]
Piofiore: Fated Memories,Shoot 'em up,Design Factory,JP: Idea FactoryWW: Aksys Games,"July 25, 2019",[641]
Pirates 7,"Strategy, role-playing",773,Mediascape,"July 25, 2019",[642]
Pix the Cat,Arcade,Pasta Games,Pasta Games,"August 8, 2019",
PixArk,Survival,Studio Wildcard,Studio Wildcard,"May 31, 2019",
Pixboy,Platformer,Oaky Games,Forever Entertainment,"June 11, 2020",[643]
PixelJunk Eden 2,Action,Q-Games,Q-Games,"December 10, 2020",
PixelJunk Monsters 2,Tower defense,Q-Games,Spike Chunsoft,"May 24, 2018",
Pixel Action Heroes,First-person shooter,Cypronia,Cypronia,"July 30, 2018",[644]
Pixel Devil and the Broken Cartridge,Platformer,Level Evil,Black Sun Game Publishing,"February 27, 2019",[40]
Pizza Parking,Simulation,I.V.O Games,I.V.O Games,"February 7, 2019",[40]
Pizza Simulator,Simulation,Gaming Factory,Gaming Factory,2021,[645]
Plague Inc: Evolved,"Real-time strategy, simulation",Ndemic Creations,Ndemic Creations,"August 2, 2019",
Plague Road,Role-playing,Arcade Distillery,Arcade Distillery,"December 7, 2017",[646]
A Plague Tale: Innocence,"Action-adventure, stealth, survival horror",Asobo Studio,Focus Home Interactive,"July 6, 2021",
A Plague Tale: Requiem,"Action-adventure, stealth, survival horror",Asobo Studio,Focus Home Interactive,2022,
The Plane Effect,Puzzle adventure,"Studio Kiku, Innovina Interactive",PQube,"August 12, 2021",[647]
Planet Alpha,Platformer,Adrian Lazar,Team17,"September 4, 2018",[648]
Planetarian: The Reverie of a Little Planet,Visual novel,Key,Prototype,"January 31, 2019",
Planescape: Torment: Enhanced Edition,Role-playing,Beamdog,Skybound Games,"October 15, 2019",
Plantera Deluxe,Simulation,VaragtP,JP: Rainy FrogWW: Ratalaika Games,"June 8, 2017",[649]
Plants vs. Zombies: Battle for Neighborville - Complete Edition,Third-person shooter,PopCap Games,Electronic Arts,"March 19, 2021",
PlataGo! Super Platform Game Maker,Platformer,Super Icon,PQube,"June 13, 2019",[650][651]
Platinum Train,Board game,JContents,JContents,"December 21, 2017",[652]
Please Be Happy,Visual novel,Studio Elan,Sekai Games,TBA,[653]
"Please, Touch The Artwork",Puzzle,Thomas Waterzooi,Thomas Waterzooi,2022,[654]
Plumbers Don't Wear Ties,Visual novel,United Pixtures,Limited Run Games,TBA,
Pocket League Story,Simulation,Kairosoft,Kairosoft,"May 16, 2019",
Pocket Rumble,Fighting,Cardboard Robot Games,Chucklefish,"July 5, 2018",[489]
Pocky & Rocky Reshrined,Shoot 'em up,Natsume Atari,Natsume,"April 21, 2022",
Pode,Puzzle,Henchman & Goon,Henchman & Goon,"June 21, 2018",
Poi: Explorer Edition,Platformer,PolyKid,Alliance Digital Media,"October 24, 2017",
Poisoft Thud Card,Card game,Poisoft,Poisoft,"March 1, 2018",[655]
Poison Control,Action role-playing,Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America,"June 25, 2020",
"Pokémon: Let's Go, Eevee!",Role-playing,Game Freak,"The Pokémon Company, Nintendo","November 16, 2018",
"Pokémon: Let's Go, Pikachu!",Role-playing,Game Freak,"The Pokémon Company, Nintendo","November 16, 2018",
Pokémon Brilliant Diamond,Role-playing,ILCA,"The Pokémon Company, Nintendo","November 19, 2021",
Pokémon Café Mix,Puzzle,Game Freak,Nintendo,"June 23, 2020",
Pokémon Legends: Arceus,Action role-playing,Game Freak,"The Pokémon Company, Nintendo","January 28, 2022",
Pokémon Mystery Dungeon: Rescue Team DX,Adventure,Spike Chunsoft,"The Pokémon Company, Nintendo","March 6, 2020",
Pokémon Quest,Adventure,Game Freak,"The Pokémon Company, Nintendo","May 29, 2018",
Pokémon Scarlet,Role-playing,Game Freak,"The Pokémon Company, Nintendo","November 18, 2022",
Pokémon Shield,Role-playing,Game Freak,"The Pokémon Company, Nintendo","November 15, 2019",
Pokémon Shining Pearl,Role-playing,ILCA,"The Pokémon Company, Nintendo","November 19, 2021",
Pokémon Sword,Role-playing,Game Freak,"The Pokémon Company, Nintendo","November 15, 2019",
Pokémon Unite,Multiplayer online battle arena,TiMi Studio Group,The Pokémon Company,"July 21, 2021",
Pokémon Violet,Role-playing,Game Freak,"The Pokémon Company, Nintendo","November 18, 2022",
Poker Club,Simulation,Ripstone Games,Ripstone Games,TBA,[656]
Poker Hands,"Puzzle, strategy",QuByte Interactive,QuByte Interactive,"August 18, 2020",[657]
Pokkén Tournament DX,Fighting,Bandai Namco Studios,"The Pokémon Company, Nintendo","September 22, 2017",
Polandball: Can into Space,Simulation,Alien Pixel Studios,Alien Pixel Studios,"June 18, 2020",[658]
Police Stories,Top-down shooter,Mighty Morgan,HypeTrain Digital,"September 19, 2019",
Poly Bridge,Puzzle,Dry Cactus,Dry Cactus,"December 14, 2017",
PolyGod,First-person shooter,Krafted Games,Krafted Games,"August 17, 2018",[659]
Pong Quest,Role-playing,Chequered Ink,Atari,"May 7, 2020",[114][115]
Ponpu,Arcade,Purple Tree Studio,Zordix Publishing,"November 29, 2020",[660]
Pool,Sports,Sabec,Sabec,"February 20, 2018",[661]
Pool Billiard,Sports,OhRussia,D3 Publisher,"February 15, 2018",[662]
Pool Panic,Adventure,Rekim,Adult Swim Games,"July 19, 2018",[663][664]
Pool Pro Gold,"Board game, simulation, sports",Inlogic Software,No Gravity Games,"August 13, 2020",[665][666]
Poopdie: Chapter One,Dungeon crawler,Bulbware,Bulbware,"June 25, 2020",[667][668]
Port Royale 4,"Business simulation, strategy",Gaming Minds,Kalypso Media,"September 25, 2020",
Portal Companion Collection,Puzzle-platform,Valve,Valve,"June 28, 2022",
Portal Knights,"Action-adventure, role-playing",Keen Games,505 Games,"November 23, 2017",
Postal Redux,Shoot 'em up,Running with Scissors,MD Games,"October 16, 2020",
Potata: Fairy Flower,Puzzle platformer,Sabec,Sabec,"May 28, 2020",[336][337]
Potato Flowers in Full Bloom,Roguelike,Pon Pon Games,Playism,2022,[669]
Potion Permit,Role-playing,MassHive Media,PQube,2021,[670]
Power Pro Kun Pocket R,Sports,Konami,Konami,"November 25, 2021",[671]
Power Rangers: Battle for the Grid,Fighting,nWay Games,Lionsgate Games,"March 26, 2019",
Powertris,Puzzle,Red Dev Studio,No Gravity Games,"October 1, 2020",
Prehistoric Dude,"Action, arcade, platformer",LightUp,Ratalaika Games,"August 14, 2020",[672][673]
Premium Pool Arena,Sports,Iceflake Studios,Bigben Interactive,"February 6, 2018",[674]
Pretty Princess Party,Simulation,Nippon Columbia,JP: Nippon ColumbiaWW: Aksys Games,"December 5, 2019",
The Princess Guide,Role-playing,Nippon Ichi Software,JP: Nippon Ichi SoftwareWW: NIS America,"March 8, 2018",[675]
Princess Maker: Faery Tales Come True,Simulation,CFK,CFK,"December 19, 2019",[676]
Princess Maker: Go! Go! Princess,Board game,CFK,CFK,"December 12, 2019",[677]
Prinny: Can I Really Be the Hero?,"Adventure, platformer",NIS America,NIS America,"October 13, 2020",
"Prinny 2: Dawn of Operation Panties, Dood!","Adventure, platformer",NIS America,NIS America,"October 13, 2020",
PriPara: All Idol Perfect Stage!,Rhythm,Syn Sophia,Tomy,"March 22, 2018",
Prison Architect,Construction and management simulation,Introversion Software,Introversion Software,"August 20, 2018",
Prison Princess,Adventure,Qureate,Qureate,"January 30, 2020",[678]
Pro Baseball: Famista Evolution,Sports,Bandai Namco Studios,Bandai Namco Entertainment,"August 2, 2018",
Pro Yakyuu Famista 2020,Sports,Bandai Namco,Bandai Namco,"September 17, 2020",
The Procession to Calvary,Point and click adventure,Joe Richardson,Digerati,"July 1, 2021",[679]
Professional Farmer: American Dream,Simulation,UIG Entertainment,UIG Entertainment,"November 28, 2019",[452][680]
Professor Lupo and his Horrible Pets,"Adventure, puzzle",BeautiFun Games,BeautiFun Games,"July 11, 2019",[681]
Professor Rubik’s Brain Fitness,Puzzle,Magic Pockets,Microids,"November 12, 2020",[455]
Proficient Paddles Deluxe,"Arcade, sports",Cyclone Studios,Cyclone Studios,"March 8, 2019",[682]
Project Highrise: Architect's Edition,Simulation,Soma Sim,Kalypso Media,"October 26, 2018",
Project Nimbus: Complete Edition,"Action, arcade",GameTomo,GameTomo,"May 16, 2019",[215][216][683]
Project Warlock,First-person shooter,Buckshot Software,Crunching Koalas,"June 11, 2020",[614][615]
Project Winter,Survival,Other Ocean Interactive,Other Ocean Interactive,"September 16, 2021",[684]
Projection: First Light,Puzzle platformer,"Shadowplay Studios, Sweaty Chair Studio",Blowfish Studios,"September 29, 2020",[685]
ProtoCorgi,Shoot 'em up,Kemono Games,Ravenscourt,TBA,[686]
